행정코드	행정구역명	여부
2401059	산수1동	Y
2401061	산수2동	Y
2401062	지산1동	Y
2401063	지산2동	Y
2401064	서남동	Y
2401068	학동	Y
2401068	학동	Y
2401071	학운동	Y
2401072	지원1동	Y
2401073	지원2동	Y
24020	서구	Y
2402051	양동	Y
2402051	양동	Y
2402053	양3동	Y
2402054	농성1동	Y
2402055	농성2동	Y
2402056	광천동	Y
2402057	유덕동	Y
2402066	치평동	Y
2402058	상무1동	Y
2402059	상무2동	Y
2402060	화정1동	Y
2402061	화정2동	Y
2402062	화정3동	Y
2402063	화정4동	Y
2402064	서창동	Y
2402068	금호1동	Y
2402069	금호2동	Y
2402067	풍암동	Y
2402070	동천동	Y
24030	남구	Y
2403051	양림동	Y
2403052	방림1동	Y
2403053	방림2동	Y
2403054	사직동	Y
2403057	월산동	Y
2403057	월산동	Y
2403057	월산동	Y
2403060	월산4동	Y
2403061	월산5동	Y
2403062	백운1동	Y
2403063	백운2동	Y
2403064	주월1동	Y
2403065	주월2동	Y
